radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,2,514,27886,,9.697303,52.445258,185828,53322,1,1309864207,1453337312,-60
GSM,262,3,582,2762,,9.690545,52.453457,176745,2578,1,1309864207,1453337182,-75
GSM,262,3,582,56122,,9.692013,52.452906,176632,3280,1,1309864207,1453337182,-75
GSM,262,2,514,4711,,9.714406,52.45248,146444,41756,1,1309864207,1453337571,-64
GSM,262,1,18511,13075,,11.883557,52.174716,270859,5397,1,1309865183,1453336658,-85
GSM,262,2,514,27882,,9.698984,52.442183,175435,88681,1,1309865794,1453337182,-57
GSM,262,2,514,16293,,9.839043,52.388736,81212,5947,1,1309867870,1453336664,-72
GSM,262,3,582,36622,,9.830367,52.384926,112767,2155,1,1309867870,1453336664,-70
GSM,262,3,582,1252,,9.839697,52.383519,115001,987,1,1309870189,1453336664,-83
GSM,262,1,22273,6390,,9.862908,52.404391,143251,1607,1,1309870189,1453336664,-75
GSM,262,2,514,4041,,9.724105,52.426651,182029,54167,1,1309874968,1453337312,-55
GSM,262,2,514,10381,,9.710608,52.427991,175997,23942,1,1309875459,1453336936,-61
GSM,262,2,514,9002,,9.715948,52.42936,183674,60673,1,1309875459,1453337312,-59
GSM,262,2,514,10382,,9.715485,52.414924,184401,12901,1,1309875459,1453337051,-54
GSM,262,2,514,9163,,9.735598,52.413582,139323,14575,1,1309875459,1453336919,-67
GSM,262,1,5127,19367,,13.290201,52.520944,148577,7566,1,1309875855,1453337051,-51
GSM,262,2,514,16902,,9.716294,52.441544,181196,46254,1,1309876073,1453337312,-58
GSM,262,1,18511,7631,,12.169183,52.000923,171489,23357,1,1309877301,1453337571,-58
GSM,262,7,20208,53187,,13.463413,52.434749,134328,3384,1,1309877792,1453336395,-72
GSM,262,2,314,29631,,13.469651,52.439865,148976,40237,1,1309877792,1453335611,-65
GSM,262,7,20208,42310,,13.480842,52.429324,165982,9508,1,1309877792,1453336395,-59
GSM,262,7,20208,22303,,13.463087,52.436411,148444,5878,1,1309877792,1453336789,-75
GSM,262,1,18511,54025,,12.261705,52.043389,179303,41616,1,1309880003,1453337700,-53
GSM,262,2,514,33,,9.729398,52.450217,147157,56611,1,1309881844,1453337571,-62
GSM,262,2,316,11662,,13.573002,52.44402,246881,7459,1,1309882457,1453337701,-71
GSM,262,2,316,39813,,13.563408,52.424987,245089,9680,1,1309882457,1453337577,-64
GSM,262,1,18466,18933,,12.226661,51.940075,112185,2590,1,1309922284,1453336006,-77
GSM,262,2,514,19723,,9.720003,52.453039,136604,39850,1,1309923633,1453337182,-59
GSM,262,3,582,17612,,9.565355,52.425114,146217,4732,1,1309930392,1453337571,-66
GSM,262,3,582,52809,,9.576223,52.4306,141169,2962,1,1309930392,1453337325,-80
GSM,262,2,317,1393,,13.54941,52.540823,51710,11239,1,1309930884,1453337673,-57
GSM,262,2,381,18061,,12.335323,52.611194,104916,14696,1,1309933713,1453336395,-83
GSM,262,2,381,18053,,12.314303,52.604745,88301,18547,1,1309933713,1453336919,-84
GSM,262,1,18507,3073,,12.057909,52.00133,165566,6381,1,1309939011,1453337571,-66
GSM,262,2,514,27541,,9.696174,52.424671,151377,11627,1,1309940242,1453337051,-61
GSM,262,2,309,2993,,12.671694,52.355369,88298,27986,1,1309943195,1453337830,-79
GSM,262,1,5928,13413,,10.625426,53.868964,73472,1545,1,1309943195,1453337965,-51
GSM,262,1,5928,13415,,10.609498,53.856558,81365,2911,1,1309943195,1453337965,-51
GSM,262,1,5928,55801,,10.619773,53.858289,70504,3092,1,1309943195,1453337965,-51
GSM,262,2,409,20241,,10.620092,53.868041,151068,29857,1,1309943195,1453337965,-60
GSM,262,1,5928,55791,,10.60688,53.873564,107546,1589,1,1309943195,1453337965,-57
GSM,262,2,409,20283,,10.642055,53.876423,68309,29031,1,1309943195,1453337965,-57
GSM,262,3,561,45811,,10.603343,53.855828,174657,8402,1,1309943195,1453335354,-63
GSM,262,2,409,60403,,10.587597,53.87824,104938,25948,1,1309943195,1453337965,-78
GSM,262,7,10107,41409,,10.625032,53.863986,151089,2001,1,1309943195,1453337965,-67
GSM,262,2,409,20243,,10.614461,53.859674,150246,26062,1,1309943195,1453337965,-68
GSM,262,7,10107,21425,,10.636447,53.869602,80627,2097,1,1309943195,1453335354,-66
GSM,262,1,5928,13282,,10.640115,53.861293,111361,1017,1,1309943195,1453337965,-76
GSM,262,1,5928,13284,,10.617267,53.843757,117612,2045,1,1309943195,1453335354,-72
GSM,262,1,5921,20098,,10.587063,53.881499,121187,1845,1,1309943195,1453335354,-71
GSM,262,7,10107,41407,,10.60879,53.853447,149555,992,1,1309943195,1453335354,-71
GSM,262,2,409,881,,10.623122,53.865196,70862,32757,1,1309943195,1453335858,-61
GSM,262,2,409,12203,,10.639785,53.862434,116666,26472,1,1309943195,1453335872,-69
GSM,262,1,5928,55800,,10.593292,53.852571,81106,4029,1,1309943195,1453337965,-54
GSM,262,1,5928,18485,,10.61937,53.871541,67548,824,1,1309943195,1453337965,-75
GSM,262,2,409,886,,10.616347,53.874843,151284,19335,1,1309943195,1453335872,-74
GSM,262,2,409,7593,,10.63298,53.8754,152225,15042,1,1309943195,1453337965,-78
GSM,262,3,561,45831,,10.579313,53.859086,173912,7459,1,1309943195,1453337965,-67
GSM,262,7,10107,8423,,10.594679,53.85152,148664,4635,1,1309943195,1453337965,-51
GSM,262,2,409,20372,,10.545871,53.845358,137132,4977,1,1309943195,1453335742,-76
GSM,262,3,561,45821,,10.591685,53.850511,109504,9411,1,1309943195,1453337965,-64
