,percent,Provider,diameter,average path length,clustering,average degree,soglia percolativa,GCsize
58,58,Tim,2,1.9589245604850287,0.9011026249570361,31.587012987012987,179.7455801332127,1.0
59,59,Tim,2,1.9588490011584867,0.9016888958440279,30.94555112881806,177.72577461162132,1.0
60,60,Tim,2,1.958603223898255,0.902136636477945,30.42663043478261,174.82030901134232,1.0
61,61,Tim,2,1.959836665749784,0.9003123462233932,28.837273991655078,164.89968168226102,1.0
62,62,Tim,2,1.9600895749255236,0.9011935929542737,27.97720797720798,163.57087576374744,1.0
63,63,Tim,2,1.9593076364878133,0.9009119125405672,27.833576642335768,160.1508444351201,1.0
64,64,Tim,2,1.9590040309186725,0.9023897682409475,27.34431137724551,158.06536734917333,1.0
65,65,Tim,2,1.9590452558194493,0.9029473673389629,26.62058371735791,155.6463935372187,1.0
66,66,Tim,2,1.9597131480457088,0.9034438408888235,25.501577287066247,151.786739238001,1.0
67,67,Tim,2,1.960370666610537,0.9059263439522238,24.411669367909237,151.2431284026026,1.0
68,68,Tim,2,1.9611686143572622,0.9062361295364503,23.26,147.26124964173115,1.0
69,69,Tim,2,1.9628300118477127,0.9051095842214868,21.632933104631217,140.77275610529657,1.0
70,70,Tim,2,1.9621751774602083,0.90647622663787,21.37102473498233,138.82589285714286,1.0
71,71,Tim,2,1.9613763578104848,0.9066558658220489,21.16575591985428,135.70189328743544,1.0
72,72,Tim,2,1.9607210115684692,0.9082000540313921,20.857142857142858,133.60544340302812,1.0
73,73,Tim,2,1.9609988289071059,0.9093025006467715,20.04660194174757,131.91011235955057,1.0
74,74,Tim,2,1.959572697227542,0.9081430324604226,20.092369477911646,128.05016989806117,1.0
75,75,Tim,2,1.958515246015246,0.9095387748168704,19.91268191268191,125.37899352683233,1.0
76,76,Tim,2,1.9585350413346243,0.9126223030009868,19.198275862068964,123.65963179164797,1.0
77,77,Tim,2,1.9597817036345944,0.9102589042944819,17.937360178970916,118.79820404090796,1.0
78,78,Tim,2,1.9582262698541768,0.9097157392606562,17.92093023255814,115.31170516480665,1.0
79,79,Tim,2,1.9564869884106348,0.9085163579517366,17.927360774818403,111.6890869800108,1.0
80,80,Tim,2,1.9555811277330264,0.9106143046313481,17.545454545454547,108.89838802533102,1.0
81,81,Tim,2,1.9546146221607963,0.910645124639285,17.155672823218996,104.98431251922486,1.0
82,82,Tim,2,1.953780933870005,0.914802015062279,16.685082872928177,102.36125827814568,1.0
83,83,Tim,2,1.9516683518705764,0.9138296878586674,16.62608695652174,98.61122733612272,1.0
84,84,Tim,2,1.9499515178638025,0.9150935239669733,16.365853658536587,95.66244411326377,1.0
85,85,Tim,2,1.947619541541334,0.9165595118234474,16.237942122186496,92.66455445544554,1.0
86,86,Tim,2,1.9505003366534328,0.9137840082852753,14.503401360544217,84.19418386491557,1.0
87,87,Tim,2,1.94770575001308,0.914762043658234,14.433212996389893,80.82141070535266,1.0
88,88,Tim,2,1.9445500445500445,0.9130570989745866,14.361538461538462,76.52758435993572,1.0
89,89,Tim,2,1.9495629697649899,0.9137171555782457,12.205761316872428,69.92582602832097,1.0
90,90,Tim,2,1.9543756145526057,0.9153684108120331,10.265486725663717,63.91896551724138,1.0
91,91,Tim,2,1.9523831431726169,0.9193069228125237,9.904306220095695,60.69468599033816,1.0
92,92,Tim,2,1.9516252181500873,0.9240874654221982,9.239583333333334,57.92897406989854,1.0
93,93,Tim,2,1.9542200328407224,0.8931319589315084,7.965714285714285,53.11621233859398,1.0
94,94,Tim,2,1.952430863500766,0.9024979730305993,7.468354430379747,50.77627118644068,1.0
95,95,Tim,2,1.9529888551165147,0.9008999799984749,6.581560283687943,47.55818965517242,1.0
96,96,Tim,2,1.9482035142932075,0.9064216490958787,6.370967741935484,43.2126582278481,1.0
97,97,Tim,2,1.9433962264150944,0.9023555281655333,6.0,39.28348909657321,1.0
98,98,Tim,2,1.9485642946317103,0.8669572633580125,4.5777777777777775,34.97572815533981,1.0
99,99,Tim,2,1.9406392694063928,0.8701056900100823,4.273972602739726,29.576923076923077,1.0
100,100,Tim,2,1.9246753246753248,0.8166786916786917,4.142857142857143,23.465517241379306,1.0
101,101,Tim,2,1.902834008097166,0.7348681642692532,3.6923076923076925,17.541666666666668,1.0
102,102,Tim,1,0.008658008658008658,0.0,0.18181818181818182,1.0,0.09090909090909091
103,103,Tim,0,0.0,0.0,0.0,,0.2
104,0,Vodafone,2,1.970121894808704,0.8722071355007487,52.88424618859401,243.25326186764613,1.0
105,1,Vodafone,2,1.9701720003044139,0.8726000202761156,52.2884834663626,241.54763722005364,1.0
