radio,net,cell,lon,lat,range,samples,distance,grado
UMTS,88,25730238,12.445184,41.902783,925,7,3772.29770042,226
UMTS,88,25241870,12.446546,41.902465,298,7,3665.22951749,99
UMTS,88,25233405,12.443532,41.897556,743,8,3716.24643182,167
UMTS,88,25233404,12.443687,41.899425,111,4,3756.63137576,84
UMTS,88,25698818,12.443072,41.899589,170,9,3805.56780699,91
UMTS,88,25711233,12.442125,41.901252,103,4,3927.34846388,85
UMTS,88,25711232,12.443536,41.904138,328,9,3943.13779378,93
UMTS,88,25240071,12.440964,41.902864,402,4,4068.06050957,98
UMTS,88,25240069,12.44785,41.90793,230,17,3849.32280846,84
UMTS,88,25241869,12.450064,41.909461,2709,13,3802.5724646,847
UMTS,88,25730766,12.442234,41.917882,693,143,4832.00321885,93
UMTS,88,25700630,12.442191,41.918209,473,147,4857.7402354,85
UMTS,88,25700631,12.442091,41.917789,696,43,4833.60701723,93
UMTS,88,25698831,12.442216,41.918332,113,49,4865.1158279,67
UMTS,88,25698830,12.441973,41.918886,507,19,4918.74167969,84
GSM,88,8719,12.442093,41.917413,633,8,4807.01339718,92
UMTS,88,25730765,12.441981,41.918227,52,9,4870.99492781,64
UMTS,1,98962535,12.495915,41.852452,755,24,4203.99388339,207
UMTS,1,98961402,12.496577,41.851866,967,37,4272.38832646,245
UMTS,99,21338083,12.494251,41.91542,344,4,2811.7489448,103
UMTS,99,21338089,12.493955,41.913251,629,5,2569.71269225,153
GSM,1,26008,12.600985,41.860067,14232,7,8734.35278185,5654
GSM,1,8610,12.603493,41.953854,5219,2,10881.5468588,551
GSM,1,4535,12.502848,41.961723,13200,2,7996.52766085,4674
GSM,1,39081,12.543548,41.972668,211,2,9933.93824455,92
GSM,1,5801,12.536834,41.988586,1870,2,11435.1081046,133
GSM,1,44185,12.533567,41.989665,2099,3,11482.8461003,150
GSM,1,5802,12.548141,41.972635,188,2,10066.349778,81
GSM,1,40315,12.556399,41.963924,1809,3,9484.82520779,200
GSM,1,13644,12.508832,41.985281,3544,7,10649.3815889,264
GSM,1,40929,12.479707,41.979092,5519,3,9934.54062658,433
GSM,1,2172,12.536027,41.979907,1111,2,10495.9610801,127
UMTS,1,98960975,12.494754,41.851804,873,24,4271.42938005,236
GSM,88,39015,12.636671,41.912104,3192,2,10995.8622693,308
UMTS,1,98959761,12.4965,41.865668,612,68,2743.12019648,225
UMTS,1,98959762,12.494313,41.858379,785,69,3539.38773021,247
UMTS,99,6265712,12.561682,41.95085,1349,87,8491.50652877,210
UMTS,99,1022505,12.550219,41.951779,1056,19,8090.57189189,169
UMTS,99,1024461,12.554333,41.945311,831,571,7670.51374696,170
UMTS,99,1024464,12.554544,41.945515,372,52,7698.07775066,130
UMTS,99,6233496,12.563784,41.947618,386,20,8307.54305962,120
UMTS,99,6265715,12.559924,41.951955,1088,35,8511.80736885,180
UMTS,99,6233492,12.568965,41.944089,222,24,8269.68228632,114
UMTS,99,6266183,12.572488,41.941909,679,20,8281.70164066,141
UMTS,99,6266181,12.578,41.944018,826,12,8740.10097383,154
UMTS,99,6266185,12.579262,41.938743,324,11,8420.46846004,118
UMTS,99,6238133,12.585617,41.94352,463,11,9124.39213116,132
UMTS,99,6264406,12.584586,41.952526,500,7,9751.78873706,116
