radio,net,cell,lon,lat,range,samples,distance
UMTS,1,98373349,12.569012,41.906098,1438,20,5964
UMTS,1,98371311,12.580673,41.909092,544,8,6891
UMTS,1,98372605,12.601676,41.915901,257,14,8612
UMTS,1,98372603,12.611585,41.920985,525,53,9498
UMTS,1,98373375,12.610804,41.920269,592,65,9416
UMTS,1,98374432,12.609921,41.92571,1210,8,9588
UMTS,1,98376049,12.615341,41.914591,268,21,9532
UMTS,1,98372395,12.615366,41.899638,17,2,9198
UMTS,1,98372685,12.615066,41.892733,442,3,9119
UMTS,1,98372364,12.614083,41.888165,246,14,9044
UMTS,1,98765621,12.600431,41.862788,256,29,8584
UMTS,1,98765848,12.574757,41.814323,31,3,10420
UMTS,1,98765964,12.570896,41.811645,77,6,10501
UMTS,1,98780570,12.551058,41.801199,65,5,10813
UMTS,1,98445253,12.523722,41.795143,81,6,10823
UMTS,1,98445255,12.510597,41.7942,52,4,10760
UMTS,1,98441662,12.432773,41.803741,141,22,10580
UMTS,1,98438952,12.418424,41.80748,1595,29,10708
UMTS,1,98447831,12.399469,41.815375,1091,16,10803
UMTS,1,98448267,12.393458,41.816836,813,122,10971
UMTS,1,98448266,12.403504,41.817832,810,13,10401
UMTS,1,98441711,12.406148,41.8196,381,16,10125
UMTS,1,98442048,12.417245,41.821956,477,28,9414
UMTS,1,98437561,12.421104,41.829446,610,20,8577
UMTS,1,98437627,12.44745,41.834025,214,12,7078
UMTS,1,98445294,12.451513,41.838065,219,9,6539
UMTS,1,98435279,12.452928,41.84071,193,14,6230
UMTS,1,98437993,12.423743,41.832635,454,16,8177
UMTS,1,98437560,12.419927,41.828954,71,5,8674
UMTS,1,98371020,12.502301,41.892893,216,20,799
UMTS,1,98370084,12.502234,41.892576,248,13,782
UMTS,1,98371021,12.502401,41.891667,220,10,766
UMTS,1,98371299,12.503922,41.88874,115,21,875
UMTS,1,98370082,12.502562,41.88565,418,38,911
UMTS,1,98438329,12.452575,41.802127,179,14,10227
GSM,1,40299,12.450135,41.80141,36,5,10357
UMTS,1,98441520,12.400274,41.81129,8,2,11119
UMTS,1,98764540,12.598313,41.853821,176,9,8846
UMTS,1,98765225,12.600298,41.862365,45,2,8592
UMTS,1,98375915,12.613068,41.885671,299,2,8980
UMTS,1,98375912,12.614894,41.890753,276,17,9102
UMTS,1,98835277,12.583044,41.955539,457,23,9914
UMTS,1,98835278,12.565637,41.959315,18391,25,9424
GSM,1,13832,12.433708,41.893546,118,112,4369
UMTS,1,98504500,12.428659,41.895053,1615,29,4759
UMTS,1,98502336,12.437506,41.894426,405,35,4099
UMTS,1,98507204,12.446649,41.895752,1077,50,3449
UMTS,1,98502680,12.452003,41.898865,63,5,3147
UMTS,1,98519745,12.472456,41.896912,140,17,1655
UMTS,1,98519744,12.474865,41.896422,126,19,1471
UMTS,1,98519746,12.476364,41.895927,21,8,1347
UMTS,1,98507521,12.476833,41.894889,63,14,1264
UMTS,1,98502676,12.4794,41.894937,10,3,1096
UMTS,1,98454212,12.487217,41.893176,12,5,505
UMTS,1,98371248,12.495436,41.890245,202,24,230
GSM,1,3011,12.509381,41.892824,49,13,1300
UMTS,1,98385236,12.501601,41.895099,106,10,879
UMTS,1,98372853,12.501448,41.895092,5,2,870
UMTS,1,98510920,12.474449,41.911341,298,18,2703
UMTS,1,98501127,12.476922,41.911807,52,14,2664
UMTS,1,98507570,12.472563,41.912254,51,9,2861
UMTS,1,98501128,12.471412,41.913484,311,38,3022
UMTS,1,98501115,12.472897,41.90753,213,21,2410
UMTS,1,98502438,12.468259,41.902983,474,11,2286
UMTS,1,98502452,12.47297,41.90448,36,4,2144
UMTS,1,98501124,12.472469,41.903993,11,4,2130
UMTS,1,98501027,12.466571,41.903815,253,20,2441
UMTS,1,98501125,12.468549,41.904391,7,3,2370
UMTS,1,98501878,12.467566,41.904625,71,9,2442
UMTS,1,98500884,12.465306,41.904752,142,13,2580
