,net,cell,lon,lat,range,samples,distanze,grado
1367,10,12091543,12.4737,41.803219,114,13,9781.16661453,37
1368,10,12116505,12.459825,41.837521,276,31,6440.81711479,28
1369,10,29472,12.474177,41.850813,5,2,4624.23666612,31
1370,10,12066622,12.466564,41.842157,584,83,5746.23647001,34
1371,10,12098622,12.474492,41.850436,36,6,4655.46033524,32
1372,10,29473,12.473437,41.852087,13,3,4511.6796047,32
1373,10,12509296,12.471585,41.873862,1022,139,2499.48823135,57
1374,10,12494521,12.473949,41.84778,274,32,4949.75238271,35
1375,10,12496611,12.47218,41.845869,23,4,5197.48637166,25
1376,10,12098623,12.473428,41.86268,373,53,3433.24290686,34
1377,10,12508958,12.470908,41.858874,233,32,3904.88009208,31
1378,10,12511545,12.475765,41.877569,201,25,1962.25644996,19
1379,10,12118458,12.502914,41.8537,1748,15,4145.25854896,107
1380,10,12510228,12.476871,41.875944,113,34,2035.77960901,20
1381,10,12509144,12.496241,41.868175,477,71,2464.80044931,46
1382,10,12120038,12.504625,41.827473,1191,135,7038.54202522,41
1383,10,12095231,12.520642,41.820355,552,51,8103.23175199,21
1384,10,12116208,12.561047,41.82562,96,9,9163.20721817,32
1385,10,12492745,12.381432,41.925025,391,23,9982.47955791,6
1386,10,12488403,12.383268,41.919749,246,15,9627.19631012,5
1387,10,12511442,12.380946,41.933412,429,27,10414.5314433,7
1388,10,12090748,12.496994,41.826563,447,69,7075.79812186,30
1389,10,12064440,12.555253,41.831261,820,92,8373.24446945,48
1390,10,12090751,12.510629,41.827056,1374,139,7173.19280691,45
1391,10,12119726,12.541607,41.837558,93,17,7133.75056928,22
1392,10,12116099,12.49558,41.828644,238,23,6839.38271178,28
1393,10,23381,12.524969,41.946279,6,3,6794.55464546,14
1394,10,12117880,12.58256,41.829477,238,11,10078.5548531,51
1395,10,12065868,12.580888,41.825251,151,10,10298.9765337,43
1396,10,26468,12.50434,41.794767,305,20,10643.6020437,28
1397,10,12083377,12.447818,41.801547,48,4,10515.0000619,18
1398,10,30077,12.5986,41.858347,596,3,9503.66143671,49
1399,10,12479097,12.376269,41.860479,91,16,10183.4510543,7
1400,10,12485821,12.374195,41.886029,8,2,9815.58351388,8
1401,10,12511556,12.381153,41.847136,661,53,10394.4486919,15
1402,10,12509815,12.383099,41.852996,403,57,9964.02784898,13
1403,10,12510883,12.375096,41.884686,173,27,9749.17619467,8
1404,10,12509003,12.379109,41.882866,924,125,9432.15847801,17
1405,10,12479095,12.37723,41.856183,396,60,10273.9044478,13
1406,10,10065372,12.488468,41.986061,752,114,10655.2969066,15
1407,10,12479098,12.378261,41.85198,227,43,10376.5823152,13
1408,10,12479094,12.375079,41.863707,835,122,10167.3353719,17
1409,10,12479091,12.377832,41.854111,15,3,10314.7532327,7
1410,10,12485829,12.375981,41.870747,874,76,9895.79697345,15
1411,10,12511554,12.383629,41.840871,218,15,10556.367403,7
1412,10,12510886,12.377615,41.874472,1010,65,9680.18168081,19
1413,10,12485826,12.379962,41.878428,23,3,9417.49261269,8
1414,10,12479092,12.379915,41.852374,39,7,10233.3658584,9
1415,10,10086117,12.615277,41.895911,138,11,10223.0942925,27
1416,10,10034236,12.605912,41.873021,52,5,9618.25455544,27
1417,10,10085135,12.611733,41.884048,1239,93,9933.33520223,46
1418,10,10084627,12.605153,41.872347,530,54,9571.76365118,41
1419,10,10086115,12.615452,41.901407,447,34,10293.2034978,28
1420,10,10085246,12.606146,41.875574,10,3,9585.08493132,28
1421,10,10062147,12.564248,41.965944,1552,100,10315.6067687,36
1422,10,10086877,12.586545,41.952021,509,37,10405.3063516,31
1423,10,10395507,12.472069,41.892283,59,5,1697.83071429,15
1424,10,10413517,12.472258,41.895653,21,4,1773.56461968,9
1425,10,10413506,12.4728,41.897182,8,2,1798.11323288,12
1426,10,17658125,12.462313,41.900302,11,3,2733.3573027,11
1427,10,12511553,12.380907,41.850915,474,51,10226.4531335,14
1428,10,12083377,12.438563,41.802803,269,41,10682.3038863,15
1429,10,12496223,12.39404,41.875562,50,8,8318.24361557,6
1430,10,12496229,12.394294,41.875092,26,3,8307.96410707,5
1431,10,17689119,12.487294,41.903147,37,6,1500.43710556,8
1432,10,12092045,12.508463,41.794389,112,16,10722.7880987,26
1433,10,12116928,12.609994,41.854084,217,2,10558.4370898,25
1434,10,12118395,12.465114,41.799558,27,4,10315.3437642,26
1435,10,12116206,12.562385,41.82436,259,37,9341.92893084,34
1436,10,54281,12.496425,41.829694,244,49,6726.03229489,28
1437,10,12094162,12.51783,41.826463,91,28,7386.27070766,16
1438,10,12090752,12.497515,41.82626,276,32,7111.88941748,25
1439,10,12095231,12.510552,41.827177,527,71,7158.70455197,24
1440,10,12107313,12.521983,41.827028,97,13,7433.16315339,17
1441,10,12093792,12.457804,41.823734,646,123,7916.77631695,60
1442,10,12067452,12.46523,41.82632,137,21,7440.63349913,34
1443,10,12119942,12.43499,41.805115,440,104,10579.742473,20
1444,10,12096872,12.443223,41.814125,341,50,9379.59758844,21
1445,10,12069763,12.444619,41.801079,323,31,10659.5646795,25
1446,10,12085909,12.475521,41.833778,21,3,6417.4432831,26
1447,10,17768205,12.476544,41.905019,83,4,2106.02487591,11
1448,10,12510111,12.456209,41.857138,397,10,4738.6812267,31
1449,10,12510152,12.391089,41.906599,22,4,8597.12839186,5
1450,10,12100249,12.582556,41.86142,3,2,8142.18898118,18
1451,10,12100246,12.582568,41.861426,1,3,8142.84364471,18
1452,10,17791285,12.454935,41.855978,787,7,4905.3883361,39
1453,10,17685024,12.453418,41.861058,2,3,4570.78897642,15
1454,10,17213491,12.60705,41.909214,11,2,9751.56940686,25
1455,10,17685535,12.455522,41.856555,778,48,4824.92033577,42
1456,10,17791264,12.452012,41.85273,610,11,5338.48189948,35
1457,10,17791284,12.463245,41.842712,2914,12,5798.30909473,205
1458,10,17675316,12.479443,41.836488,3473,37,6058.08027619,269
1459,10,17675296,12.483798,41.835727,3275,62,6088.71089241,240
1460,10,17599520,12.460955,41.85592,1816,16,4610.71314903,106
1461,10,12494522,12.44891,41.851806,395,7,5581.57538207,23
1462,10,17791265,12.457039,41.859485,584,4,4494.58089445,37
1463,10,17685536,12.461698,41.865378,256,11,3748.39409903,21
1464,10,17682701,12.441213,41.885639,3501,13,4272.37377252,210
1465,10,17730336,12.438797,41.89419,841,12,4465.15932901,23
1466,10,17733919,12.458619,41.84736,114,2,5517.77727154,25
1467,10,12116096,12.494797,41.830043,1,2,6681.81126123,23
1468,10,17679373,12.476667,41.838784,3272,25,5854.0973282,257
1469,10,17682208,12.449131,41.855762,372,4,5241.12629722,24
1470,10,12496613,12.456318,41.855964,2,2,4834.7690326,21
1471,10,12510114,12.455508,41.857056,100,2,4782.72092694,19
1472,10,17213491,12.606967,41.909068,48,12,9741.35006493,25
1473,10,17680142,12.451831,41.854476,370,2,5198.50680301,28
1474,10,29301,12.455605,41.856105,11,3,4859.38469595,19
1475,10,17684256,12.470598,41.853967,390,14,4407.60966295,36
1476,10,17684257,12.480465,41.871016,2214,27,2344.69354532,194
1477,10,17686579,12.486776,41.888851,491,4,483.849828738,40
1478,10,12461831,12.48044,41.871441,44,2,2302.82806568,23
1479,10,17687072,12.480364,41.871616,15,2,2288.01285769,23
1480,10,17772063,12.480447,41.87169,6,2,2277.61889707,22
1481,10,17594894,12.575452,41.848159,1,3,8330.45541233,29
1482,10,17675315,12.495626,41.833491,5,3,6301.645367,20
1483,10,12090747,12.494807,41.829114,41,2,6784.97269968,23
1484,10,17678604,12.475182,41.847451,2016,13,4954.14637646,145
1485,10,17684255,12.454711,41.855142,312,5,4989.26091179,29
1486,10,17226035,12.455554,41.858925,374,10,4622.41649621,29
1487,10,17731083,12.529664,41.880688,20,4,3272.80645107,12
1488,10,17760269,12.452063,41.850747,290,6,5509.25619274,24
1489,10,17185803,12.441808,41.878019,1190,11,4405.38995056,39
1490,10,17695500,12.518458,41.923315,1,2,4272.01099185,8
1491,10,17695499,12.519598,41.92506,261,5,4487.03705114,9
1492,10,47742,12.59336,41.933111,526,3,9643.72311797,33
1493,10,28313,12.594999,41.933172,390,2,9765.45089143,25
1494,10,46381,12.590182,41.933027,9,2,9410.74340548,26
1495,10,46388,12.590182,41.933027,9,2,9410.74340548,26
1496,10,46382,12.590182,41.933027,9,2,9410.74340548,26
1497,10,46389,12.590182,41.933027,9,2,9410.74340548,26
1498,10,46383,12.590182,41.933027,9,2,9410.74340548,26
1499,10,17739808,12.493944,41.986475,335,3,10697.3004353,14
1500,10,17669665,12.481904,41.986287,438,5,10710.5460889,11
1501,10,12492742,12.381477,41.924863,319,3,9972.08258875,6
1502,10,12488402,12.384882,41.912584,508,6,9256.92281404,8
1503,10,12510881,12.383368,41.902278,610,7,9141.73267975,8
1504,10,12509001,12.380924,41.88704,106,2,9252.78050986,8
1505,10,12485821,12.38032,41.880447,261,3,9359.39418014,10
1506,10,12485823,12.375997,41.871189,693,9,9883.87884063,14
1507,10,12479091,12.375431,41.859999,494,6,10266.6050051,10
1508,10,12479092,12.379026,41.85148,318,4,10341.6444485,13
1509,10,12511553,12.381755,41.84521,409,5,10450.7363814,11
1510,10,12083380,12.443653,41.802114,97,2,10583.3053407,15
1511,10,12083376,12.451394,41.800718,75,8,10501.3800036,23
