radio,net,cell,lon,lat,range,samples,distance
UMTS,88,25438885,12.628761,41.874528,20,22,10278
UMTS,88,25449930,12.628824,41.87449,13,5,10284
GSM,88,9042,12.37957,41.813529,4277,48,11945
GSM,88,30023,12.406437,41.826734,4473,53,9509
GSM,88,9050,12.370295,41.820626,1390,5,11910
GSM,88,8672,12.390558,41.814606,3304,39,11299
GSM,88,16876,12.406723,41.824781,3497,24,9657
GSM,88,16883,12.405083,41.827476,3405,20,9516
GSM,88,18712,12.38975,41.822341,901,6,10718
GSM,88,16877,12.408958,41.825159,1326,26,9517
GSM,88,8671,12.415281,41.827787,1720,34,8991
GSM,88,17297,12.424408,41.831265,2013,29,8267
GSM,88,17296,12.428564,41.82494,2541,19,8662
GSM,88,17295,12.432258,41.834657,2439,10,7616
GSM,88,8657,12.429406,41.833006,1589,20,7889
GSM,88,8633,12.428787,41.831756,6945,18,8028
GSM,88,8990,12.436836,41.83537,1675,16,7356
GSM,88,8911,12.510734,41.859145,512,61,3711
GSM,88,9482,12.510884,41.859577,740,13,3671
GSM,88,52624,12.510944,41.858962,95,45,3736
GSM,88,8628,12.510999,41.858796,32,11,3755
GSM,88,17548,12.510901,41.858937,100,56,3737
GSM,88,52623,12.510898,41.858786,43,9,3753
GSM,88,9227,12.511261,41.85921,96,13,3719
GSM,88,17743,12.506227,41.866241,1124,77,2854
GSM,88,17631,12.510978,41.858301,3219,50,3805
GSM,88,9103,12.503762,41.870158,1438,49,2382
GSM,88,17265,12.50981,41.858881,1238,17,3714
GSM,88,18540,12.505087,41.868308,1250,42,2609
GSM,88,8910,12.503176,41.871164,1504,43,2262
GSM,88,17533,12.510699,41.859012,18,4,3724
GSM,88,17265,12.510812,41.858886,1,2,3740
GSM,88,9019,12.504396,41.869451,1344,29,2472
GSM,88,52624,12.510821,41.85891,3,3,3738
GSM,88,52624,12.510797,41.858541,7,5,3775
GSM,88,9227,12.511048,41.859387,168,9,3695
GSM,88,8910,12.507644,41.864136,1234,3,3111
GSM,88,8900,12.511088,41.859219,25,4,3713
GSM,88,8900,12.510501,41.860687,157,2,3546
GSM,88,8915,12.511652,41.859594,5,2,3691
GSM,88,9023,12.509753,41.861646,509,14,3426
GSM,88,8915,12.512015,41.859694,11,3,3691
GSM,88,9019,12.511973,41.859697,8,2,3690
GSM,88,9104,12.498265,41.876139,1918,65,1621
GSM,88,9022,12.509647,41.861789,66,3,3408
GSM,88,17741,12.506133,41.865809,1143,6,2897
GSM,88,17677,12.505818,41.86495,330,7,2978
GSM,88,9102,12.505539,41.865341,31,2,2930
GSM,88,17744,12.500073,41.874836,4298,36,1800
GSM,88,17676,12.501252,41.874002,286,4,1916
GSM,88,17676,12.501137,41.874318,120,7,1880
GSM,88,17203,12.501234,41.874189,4,3,1896
GSM,88,17203,12.49759,41.877751,820,38,1435
GSM,88,8566,12.495279,41.879591,590,2,1197
GSM,88,17197,12.495707,41.879738,855,20,1187
GSM,88,52685,12.49563,41.879666,540,12,1194
GSM,88,17146,12.483418,41.886889,1741,58,756
GSM,88,17146,12.494677,41.88045,522,11,1095
GSM,88,8565,12.490217,41.883583,867,51,749
GSM,88,17534,12.494348,41.880783,369,10,1055
GSM,88,17208,12.490139,41.883605,478,49,748
GSM,88,8568,12.489722,41.883874,236,41,726
