,net,cell,lon,lat,range,samples,distanze
137,10,28612,12.480678999999999,41.847375,74,11,4851.035479445587
138,10,566781,12.477356,41.84451,462,29,5221.980493944322
139,10,581731,12.479781,41.846568,466,100,4954.044430765014
140,10,581629,12.474808,41.840989,511,85,5653.304439930183
141,10,582109,12.472519,41.836523,1077,96,6181.812544171551
142,10,551572,12.469991,41.832076,120,18,6714.177239806597
143,10,582110,12.469021000000001,41.830343,1197,115,6921.470422865395
144,10,582111,12.466052000000001,41.826935999999996,446,113,7354.906684394093
145,10,568739,12.465297,41.823249,209,53,7764.846040319408
146,10,568742,12.467342,41.824645000000004,644,118,7568.231382117388
147,10,568743,12.456832,41.806405,1618,301,9760.03489467017
148,10,549040,12.453206,41.800825,379,49,10442.33275834441
149,10,549039,12.456638,41.800425,57,14,10399.761663601535
150,10,647077,12.461444,41.799844,340,67,10355.613203414992
151,10,581593,12.498501,41.859613,265,54,3432.751409148904
152,10,28899,12.491419,41.854987,548,67,3908.8708016416945
153,10,28617,12.486172,41.851247,42,9,4353.670125620138
154,10,21437,12.483589,41.849415,276,40,4584.828098002274
155,10,21439,12.479577,41.84655,43,12,4959.587255062917
156,10,647078,12.456928999999999,41.807935,75,6,9595.691602031955
157,10,581969,12.464328,41.818259999999995,217,45,8319.014224564973
158,10,30087,12.464744999999999,41.817977,7,3,8339.622147243383
159,10,646917,12.466844,41.819148999999996,287,53,8167.637585418809
160,10,646920,12.469323,41.819818,121,27,8044.530643913523
161,10,28342,12.469789,41.831195,187,25,6812.867460582232
162,10,28348,12.471264999999999,41.833828999999994,65,10,6497.995349200803
163,10,581730,12.486931,41.848976,349,63,4597.690441647219
164,10,566780,12.488794,41.848102000000004,33,7,4682.074413655873
165,10,566779,12.491054,41.849721,36,13,4494.284911201789
166,10,581729,12.492019,41.850411,83,25,4416.471736207225
167,10,569080,12.496083,41.8513,280,72,4328.875182436047
168,10,569079,12.50958,41.853131,943,172,4356.357080215363
169,10,646957,12.513442,41.852286,325,28,4558.506704292004
170,10,647906,12.518094,41.857343,70,14,4227.370962781572
171,10,648526,12.527731,41.853322999999996,265,42,5038.734862804791
172,10,28293,12.531522,41.856457,203,23,4960.731176540996
173,10,648027,12.554821,41.862996,179,46,6001.686324614163
174,10,29319,12.555841000000001,41.862426,26,6,6106.742886519631
175,10,649005,12.554177000000001,41.861779,226,33,6025.22273115697
176,10,649007,12.553230000000001,41.862065,230,45,5941.619673079098
177,10,24752,12.463658,41.84898,5745,4,5157.531729301964
178,10,59881,12.442523,41.811792,43,4,9638.444285437125
179,10,58753,12.437128999999999,41.819567,43,3,9083.662610834608
